STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT02,WT08,WT03
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150215,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150216,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150217,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150218,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150219,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150220,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150221,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150222,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150223,-9999,-9999,254,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150224,-9999,-9999,38,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150225,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150226,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150227,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150228,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150301,-9999,-9999,119,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150302,-9999,-9999,109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150303,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150304,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150305,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150306,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150307,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150308,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150309,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150310,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150311,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150312,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150313,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150314,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150315,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
